index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
190,300,168,256,5728.7646,101.3192,0.0000,255.0000,56.3204,14029,1.0000
191,385,131,256,3920.4985,90.7966,0.0000,255.0000,52.1743,11632,1.0000
192,259,194,256,2316.4939,111.5317,0.0000,255.0000,52.1848,10632,1.0000
193,200,133,255,1075.6647,116.8624,0.0000,255.0000,53.0284,6522,1.0000
194,275,183,255,4927.0181,89.4289,0.0000,255.0000,52.2689,13402,1.0000
195,275,183,256,4213.4131,107.8522,0.0000,255.0000,66.4555,12276,1.0000
196,314,161,256,2250.4885,127.3241,0.0000,255.0000,64.6601,9770,1.0000
197,225,225,256,2985.0989,128.3842,0.0000,255.0000,64.0144,10715,1.0000
198,225,225,256,3997.0059,124.9339,0.0000,255.0000,68.2172,10657,1.0000
199,301,168,256,2969.8542,115.2987,0.0000,255.0000,61.0732,12560,1.0000
200,226,223,256,4026.8657,100.4875,0.0000,255.0000,63.1964,12548,1.0000
201,300,168,256,1794.8274,78.8812,0.0000,255.0000,58.2467,9742,1.0000
202,275,183,256,1413.1362,110.5563,0.0000,255.0000,57.4081,8518,1.0000
203,310,163,256,4602.6064,96.5612,0.0000,255.0000,59.0906,12480,1.0000
204,275,183,256,5845.2368,79.4055,0.0000,255.0000,52.6495,13744,1.0000
205,285,177,256,4187.1763,94.5616,0.0000,255.0000,59.4035,12700,1.0000
206,299,168,256,2687.0859,121.7547,0.0000,255.0000,56.9394,11715,1.0000
207,267,189,256,4602.6260,89.8352,0.0000,255.0000,54.9376,12494,1.0000
208,282,179,256,3816.5344,106.8567,0.0000,255.0000,77.7315,11532,1.0000
209,279,180,256,4236.9956,161.6588,0.0000,255.0000,73.5336,9745,1.0000
210,259,195,256,525.2223,217.0618,0.0000,255.0000,51.5467,5146,1.0000
211,225,225,256,2225.8926,147.2466,0.0000,255.0000,68.1486,8178,1.0000
212,257,196,256,1000.9216,194.6013,0.0000,255.0000,65.8699,6071,1.0000
213,275,183,255,1068.8698,151.4472,0.0000,255.0000,63.0941,7033,1.0000
214,265,190,256,788.8683,213.0381,0.0000,255.0000,50.7346,4819,1.0000
215,225,225,256,224.9426,222.8815,0.0000,255.0000,49.4866,4085,1.0000
216,271,186,256,1148.1129,176.6725,0.0000,255.0000,65.7667,7523,1.0000
217,275,183,256,1429.7292,117.5538,0.0000,255.0000,44.2292,9720,1.0000
218,225,225,256,148.4673,221.4464,0.0000,255.0000,47.3795,3707,1.0000
219,100,100,256,1478.5103,96.4884,0.0000,255.0000,66.6719,3462,1.0000
220,275,183,256,1792.4828,145.2791,0.0000,255.0000,52.7663,9466,1.0000
221,275,183,256,1640.1493,122.9293,0.0000,255.0000,61.3866,9360,1.0000
222,275,183,256,2509.1677,128.4897,0.0000,255.0000,58.7916,9635,1.0000
223,275,183,256,807.8234,158.9416,0.0000,255.0000,51.6351,7215,1.0000
224,275,183,256,5721.9199,86.3693,0.0000,255.0000,52.8177,12819,1.0000
225,259,194,256,5189.8706,109.2848,0.0000,255.0000,56.1062,14033,1.0000
226,275,183,256,3597.9172,117.9992,0.0000,255.0000,56.4082,11955,1.0000
227,276,183,228,2748.2939,74.9983,0.0000,235.0000,50.6293,10697,1.0000
228,276,183,219,2373.5957,75.9505,0.0000,220.0000,57.8310,9478,1.0000
229,275,183,256,3053.5713,113.9185,0.0000,255.0000,55.8915,11179,1.0000
230,100,100,256,190.9876,200.2975,0.0000,255.0000,54.3664,1833,1.0000
231,183,275,256,4043.8308,97.0850,0.0000,255.0000,59.0920,12005,1.0000
232,275,183,256,1706.8546,79.8948,0.0000,255.0000,60.7662,8313,1.0000
233,300,168,256,1725.7836,153.7459,0.0000,255.0000,67.6216,9538,1.0000
234,266,189,256,1791.5647,149.6196,0.0000,255.0000,64.9930,8811,1.0000
235,275,183,256,6737.7231,91.0189,0.0000,255.0000,52.9714,14431,1.0000
236,275,183,256,1836.4686,86.7503,0.0000,255.0000,66.4421,10001,1.0000
