from,to,distance
224,841,0.994567
841,224,0.994567
1965,1984,0.993888
1984,1965,0.993888
1300,371,0.993811
371,1300,0.993811
1986,1997,0.993564
1997,1986,0.993564
2029,135,0.993537
2029,118,0.993537
1961,1869,0.993447
1961,1688,0.993447
141,1759,0.993446
1759,141,0.993446
2032,1672,0.993445
1672,2032,0.993445
2007,1992,0.993409
1992,2007,0.993409
725,709,0.993373
709,725,0.993373
994,709,0.993373
875,222,0.993348
222,875,0.993348
1565,1549,0.993308
1549,1565,0.993308
1858,139,0.993263
165,1858,0.993263
1858,165,0.993263
139,1858,0.993263
1916,1902,0.993236
1902,1916,0.993236
1916,1980,0.993236
1980,1916,0.993236
1250,1220,0.993214
1220,1250,0.993214
2032,207,0.993204
207,2032,0.993204
2088,1890,0.993041
1890,2088,0.993041
1684,1221,0.992999
1221,1684,0.992999
1848,182,0.992934
182,1848,0.992934
1234,1420,0.992829
1787,1571,0.992735
1243,15,0.992474
15,1243,0.992474
966,228,0.992391
228,966,0.992391
227,725,0.992389
1828,1841,0.992197
1828,1735,0.992197
1841,1828,0.992197
1735,1828,0.992197
14,1225,0.992153
1225,14,0.992153
1787,143,0.992144
124,1653,0.992092
1653,124,0.992092
1149,1909,0.991992
1549,125,0.991978
125,1549,0.991978
681,671,0.991884
671,681,0.991884
1978,1959,0.991800
1959,1978,0.991800
1149,1890,0.991778
1602,897,0.991589
897,1602,0.991589
2030,2017,0.991422
2017,2030,0.991422
1600,1683,0.991339
1683,1600,0.991339
1824,2057,0.991318
1901,664,0.991122
664,1901,0.991122
1557,236,0.991106
236,1557,0.991106
355,1567,0.991023
1567,355,0.991023
1567,1622,0.991023
1622,1567,0.991023
291,221,0.990801
221,291,0.990801
1935,180,0.990759
180,1935,0.990759
195,2057,0.990383
699,647,0.990133
647,699,0.990133
1708,1789,0.989837
1789,1708,0.989837
194,897,0.989785
897,194,0.989785
2100,397,0.989724
397,2100,0.989724
831,1550,0.989479
1550,831,0.989479
674,1657,0.989399
1657,674,0.989399
250,1557,0.989295
119,1557,0.989295
1557,250,0.989295
2030,195,0.989208
1603,1640,0.988888
1640,1603,0.988888
