component_id,mean,sum,count,min,max
608,12.000000,12.000000,1.000000,1.000000,1.000000
609,12.000000,12.000000,1.000000,1.000000,1.000000
612,3.967536,4.000000,0.991884,0.991884,0.991884
614,3.957596,4.000000,0.989399,0.989399,0.989399
615,3.979722,4.000000,0.994930,0.994930,0.994930
625,3.983316,4.000000,0.995829,0.995829,0.995829
640,3.983174,4.000000,0.995794,0.995794,0.995794
642,11.857173,12.000000,0.988098,0.982147,1.000000
650,3.987819,4.000000,0.996955,0.996955,0.996955
654,3.999999,4.000000,1.000000,1.000000,1.000000
664,3.842753,4.000000,0.960688,0.960688,0.960688
672,3.992866,4.000000,0.998216,0.998216,0.998216
683,4.000000,4.000000,1.000000,1.000000,1.000000
738,4.000000,4.000000,1.000000,1.000000,1.000000
740,4.000000,4.000000,1.000000,1.000000,1.000000
751,3.957918,4.000000,0.989479,0.989479,0.989479
754,4.000000,4.000000,1.000000,1.000000,1.000000
768,4.000000,4.000000,1.000000,1.000000,1.000000
770,3.999999,4.000000,1.000000,1.000000,1.000000
790,24.000000,24.000000,1.000000,1.000000,1.000000
800,3.878488,4.000000,0.969622,0.969622,0.969622
822,3.988273,4.000000,0.997068,0.997068,0.997068
839,4.000000,4.000000,1.000000,1.000000,1.000000
840,12.000000,12.000000,1.000000,1.000000,1.000000
841,17.999998,18.000000,1.000000,1.000000,1.000000
842,4.000000,4.000000,1.000000,1.000000,1.000000
872,15.716777,16.000000,0.982299,0.965799,1.000000
875,4.000000,4.000000,1.000000,1.000000,1.000000
890,11.805735,12.000000,0.983811,0.975717,1.000000
944,4.000000,4.000000,1.000000,1.000000,1.000000
948,15.863007,16.000000,0.991438,0.985771,1.000000
964,11.709381,12.000000,0.975782,0.963673,1.000000
993,3.990244,4.000000,0.997561,0.997561,0.997561
1002,4.000000,4.000000,1.000000,1.000000,1.000000
1043,15.902666,16.000000,0.993917,0.991778,0.996110
1051,3.994173,4.000000,0.998543,0.998543,0.998543
1054,11.803741,12.000000,0.983645,0.975468,1.000000
